Name,Surname,url
Ajnishahe,Azemi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Ajnishahe_Azemi.pdf
Abetare,Fazliu,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Abetare_Fazliu.pdf
Arben,Vitia,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Arben_Vitia.pdf
Arberije,Nagaveci,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Arberije_Nagaveci.pdf
Abit,Kastrati,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Abit_Kastrati.pdf
Agim,Gashi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Agim_Gashi.pdf
Arianit,Mustafa,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Arianit_Mustafa.pdf
Ahmet,Maxhuni,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Ahmet_Maxhuni.pdf
Ardian,Olluri,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Ardian_Olluri.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Bardha,Dida Rugova,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Bardha_Dida-Rogova.pdf
Brahim,Mehmetaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Brahim_Mehmetaj.pdf
Behare,Sopjani,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Behare_Sopjani.pdf
Besart,Vllahinja,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Besart_Vllahinja.pdf
Blerand,Stavileci,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Blerand_Stavileci.pdf
Berat,Lahu,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Berat_Lahu.pdf
Cuneyd,Ustaibo,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Cuneyd_Ustaibo.pdf
Dardan,Sejdiu,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Dardan_Sejdiu.pdf
Dren,Kukaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Dren_Kukaj.pdf
Egzona,Podvorica,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Egzona_Podvorica.pdf
Ferat,Makolli,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Ferat_Makolli.pdf
Fisnik,Osmani,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Fisnik_Osmani.pdf
Flamur,Shala,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Flamur_Shala.pdf
Feti,Mehdiu,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Feti_Mehdiu.pdf
Fitim,Vokrri,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Fitim_Vokrri.pdf
Flamur,Zeqiri,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Flamur_Zeqiri.pdf
Fadil,Gashi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Fadi_Gashi.pdf
Fatmir,Dervishi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Fatmir_Dervishi.pdf
Gani,Sopi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Gani_Sopi.pdf
Genc,Sherifi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Genc_Sherifi.pdf
Genc,Bashota,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prishtines/Genc_Bashota.pdf
